Resource,Path,Git Org,Git Repository,Misconfigurations,Severity,Policy title,Guideline
Deployment.minio.my-release-minio,/bitnami-successful/minio-manifest.yaml,cli_repo,bitnami-successful,CKV_K8S_35,,Prefer using secrets as files over secrets as environment variables,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/kubernetes-policies/kubernetes-policy-index/bc-k8s-33
Deployment.minio.my-release-minio,/bitnami-successful/minio-manifest.yaml,cli_repo,bitnami-successful,CKV_K8S_15,,Image Pull Policy should be Always,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/kubernetes-policies/kubernetes-policy-index/bc-k8s-14
Deployment.minio.my-release-minio,/bitnami-successful/minio-manifest.yaml,cli_repo,bitnami-successful,CKV_K8S_40,,Containers should run as a high UID to avoid host conflict,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/kubernetes-policies/kubernetes-policy-index/bc-k8s-37
Deployment.minio.my-release-minio,/bitnami-successful/minio-manifest.yaml,cli_repo,bitnami-successful,CKV_K8S_31,,Ensure that the seccomp profile is set to docker/default or runtime/default,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/kubernetes-policies/kubernetes-policy-index/bc-k8s-29
Deployment.minio.my-release-minio,/bitnami-successful/minio-manifest.yaml,cli_repo,bitnami-successful,CKV_K8S_43,,Image should use digest,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/kubernetes-policies/kubernetes-policy-index/bc-k8s-39
Deployment.jenkins.my-release-jenkins,/bitnami-successful/jenkins-manifest.yaml,cli_repo,bitnami-successful,CKV_K8S_35,,Prefer using secrets as files over secrets as environment variables,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/kubernetes-policies/kubernetes-policy-index/bc-k8s-33
Deployment.jenkins.my-release-jenkins,/bitnami-successful/jenkins-manifest.yaml,cli_repo,bitnami-successful,CKV_K8S_15,,Image Pull Policy should be Always,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/kubernetes-policies/kubernetes-policy-index/bc-k8s-14
Deployment.jenkins.my-release-jenkins,/bitnami-successful/jenkins-manifest.yaml,cli_repo,bitnami-successful,CKV_K8S_40,,Containers should run as a high UID to avoid host conflict,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/kubernetes-policies/kubernetes-policy-index/bc-k8s-37
Deployment.jenkins.my-release-jenkins,/bitnami-successful/jenkins-manifest.yaml,cli_repo,bitnami-successful,CKV_K8S_31,,Ensure that the seccomp profile is set to docker/default or runtime/default,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/kubernetes-policies/kubernetes-policy-index/bc-k8s-29
Deployment.jenkins.my-release-jenkins,/bitnami-successful/jenkins-manifest.yaml,cli_repo,bitnami-successful,CKV_K8S_43,,Image should use digest,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/kubernetes-policies/kubernetes-policy-index/bc-k8s-39
Deployment.jenkins.my-release-jenkins,/bitnami-successful/jenkins-manifest.yaml,cli_repo,bitnami-successful,CKV_K8S_38,,Ensure that Service Account Tokens are only mounted where necessary,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/kubernetes-policies/kubernetes-policy-index/bc-k8s-35
DaemonSet.kiam.my-release-kiam-agent,/bitnami-successful/kiam-manifest.yaml,cli_repo,bitnami-successful,CKV_K8S_15,,Image Pull Policy should be Always,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/kubernetes-policies/kubernetes-policy-index/bc-k8s-14
DaemonSet.kiam.my-release-kiam-agent,/bitnami-successful/kiam-manifest.yaml,cli_repo,bitnami-successful,CKV_K8S_25,,Minimize the admission of containers with added capability,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/kubernetes-policies/kubernetes-policy-index/bc-k8s-24
